cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
cord_uid_000014,sha_0000000e,CDC,Asymptomatic Antibody: A long-term effects Study,10.1000/000014,PMC0000014,481913,custom,,2022-05-08,"Rodriguez, H.; Johnson, A.",Science,mag_00000014,cov_000014,,pdf_000014.json,,https://example.com/paper/14,
cord_uid_000015,sha_0000000f,WHO,Immunity Social Distancing: A recovery Study,10.1000/000015,PMC0000015,437902,custom,This study investigates vaccine in relation to recovery. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 3155 patients.,2022-03-16,"Martin, S.; Jackson, R.",Scientific Reports,,,,pdf_000015.json,pmc_000015.json,,
cord_uid_000016,sha_00000010,PubMed,Outbreak Asymptomatic Coronavirus: A gastrointestinal Study,,PMC0000016,303880,custom,This study investigates hospitalization in relation to gastrointestinal. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 1890 patients.,2022-10-21,"Jones, D.; Smith, J.",Scientific Reports,,,,pdf_000016.json,pmc_000016.json,https://example.com/paper/16,s2_00000016
cord_uid_000017,sha_00000011,CDC,Icu: A complications Study,10.1000/000017,PMC0000017,879779,custom,This study investigates SARS-CoV-2 in relation to complications. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 1044 patients.,2021-02-21,"Jones, D.; Anderson, N.; Taylor, P.; Hernandez, J.",Scientific Reports,,,,pdf_000017.json,,https://example.com/paper/17,
cord_uid_000018,sha_00000012,PMC,Social Distancing Hospitalization Lockdown: A prognosis Study,10.1000/000018,PMC0000018,,custom,This study investigates asymptomatic in relation to prognosis. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 1183 patients.,2020-05-07,"Davis, G.; Gonzalez, L.",PLOS ONE,mag_00000018,,,pdf_000018.json,pmc_000018.json,,
cord_uid_000019,sha_00000013,CDC,Immunity Antibody: A recovery Study,10.1000/000019,,233827,cc0,,2021-11-20,"Rodriguez, H.; Wilson, M.",Emerging Infectious Diseases,,,,pdf_000019.json,,https://example.com/paper/19,
cord_uid_000020,,Custom,Mortality Testing: A prognosis Study,,PMC0000020,,cc0,,2022-01-15,"Williams, B.; Thomas, O.; Smith, J.",NEJM,,,,,,https://example.com/paper/20,
cord_uid_000021,sha_00000015,Custom,Transmission Pandemic: A neurological Study,10.1000/000021,,757711,cc-by,This study investigates transmission in relation to neurological. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 4790 patients.,2021-05-08,"Martinez, I.",Science,mag_00000021,,,pdf_000021.json,pmc_000021.json,https://example.com/paper/21,
cord_uid_000022,sha_00000016,WHO,Variant Coronavirus: A recovery Study,10.1000/000022,PMC0000022,383201,custom,This study investigates asymptomatic in relation to recovery. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 4065 patients.,2022-11-26,"Wilson, M.",Scientific Reports,,cov_000022,,pdf_000022.json,pmc_000022.json,,s2_00000022
cord_uid_000023,,WHO,Comorbidity Immunity: A prognosis Study,,PMC0000023,,custom,This study investigates COVID-19 in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using prospective analysis of 1539 patients.,2021-04-13,"Miller, F.; Lopez, K.; Rodriguez, H.; Hernandez, J.",Scientific Reports,mag_00000023,,,pdf_000023.json,,,
cord_uid_000024,sha_00000018,WHO,Hospitalization Social Distancing Variant: A complications Study,10.1000/000024,PMC0000024,300845,cc-by,This study investigates elderly in relation to complications. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 3535 patients.,2022-03-08,"Hernandez, J.; Lopez, K.; Anderson, N.; Rodriguez, H.; Martinez, I.",Clinical Infectious Diseases,,cov_000024,arXiv:2016.5636,pdf_000024.json,pmc_000024.json,,
cord_uid_000025,sha_00000019,PubMed,Elderly: A pathogenesis Study,,,600935,cc0,This study investigates lockdown in relation to pathogenesis. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 4583 patients.,2021-08-11,"Jones, D.; Thomas, O.; Brown, C.",Virology,,,,pdf_000025.json,,https://example.com/paper/25,s2_00000025
cord_uid_000026,sha_0000001a,WHO,Pandemic: A recovery Study,,PMC0000026,377501,cc0,This study investigates antibody in relation to recovery. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 1898 patients.,2020-05-23,"Gonzalez, L.; Anderson, N.; Jackson, R.; Martinez, I.; Wilson, M.",The Lancet,,,,,,https://example.com/paper/26,
cord_uid_000027,,Custom,Social Distancing Testing Coronavirus: A respiratory Study,,,723948,cc-by-nc,This study investigates hospitalization in relation to respiratory. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 4881 patients.,2021-07-13,"Wilson, M.; Brown, C.",Scientific Reports,,,,pdf_000027.json,,https://example.com/paper/27,
cord_uid_000028,,Custom,Asymptomatic Lockdown: A clinical trial Study,10.1000/000028,PMC0000028,195674,custom,This study investigates coronavirus in relation to clinical trial. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using cross-sectional analysis of 4762 patients.,2020-02-20,"Smith, J.; Rodriguez, H.; Johnson, A.; Garcia, E.; Thomas, O.",BMJ,,,,,,https://example.com/paper/28,s2_00000028
cord_uid_000029,sha_0000001d,PMC,Sars-Cov-2 Testing Coronavirus: A prognosis Study,10.1000/000029,,,cc-by,This study investigates lockdown in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 3361 patients.,2022-02-28,"Smith, J.; Moore, Q.; Anderson, N.; Wilson, M.; Johnson, A.",Emerging Infectious Diseases,,cov_000029,,,,https://example.com/paper/29,s2_00000029
cord_uid_000030,sha_0000001e,Custom,Covid-19 Elderly Antibody: A epidemiology Study,10.1000/000030,PMC0000030,,cc-by,This study investigates hospitalization in relation to epidemiology. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 1012 patients.,2021-08-28,"Thomas, O.; Martinez, I.",Emerging Infectious Diseases,mag_00000030,cov_000030,,,pmc_000030.json,https://example.com/paper/30,
cord_uid_000031,sha_0000001f,CDC,Covid-19 Social Distancing: A cardiovascular Study,10.1000/000031,,,cc-by,This study investigates social distancing in relation to cardiovascular. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 4061 patients.,2022-10-05,"Anderson, N.; Moore, Q.",Nature Medicine,,cov_000031,,,,https://example.com/paper/31,
cord_uid_000032,sha_00000020,CDC,Sars-Cov-2 Vaccine: A recovery Study,10.1000/000032,,377896,cc-by-nc,,2020-10-07,"Taylor, P.",Nature Medicine,mag_00000032,,arXiv:2021.9742,,,https://example.com/paper/32,s2_00000032
cord_uid_000033,,PubMed,Outbreak: A epidemiology Study,,,,cc-by-nc,This study investigates hospitalization in relation to epidemiology. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 2404 patients.,2022-12-13,"Williams, B.; Wilson, M.",Journal of Medical Virology,,,,,,https://example.com/paper/33,
cord_uid_000034,sha_00000022,WHO,Outbreak: A gastrointestinal Study,10.1000/000034,,177449,custom,This study investigates immunity in relation to gastrointestinal. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 2022 patients.,2020-11-23,"Jackson, R.; Jones, D.; Davis, G.; Anderson, N.",BMJ,mag_00000034,,arXiv:2022.5097,,,https://example.com/paper/34,s2_00000034
cord_uid_000035,sha_00000023,WHO,Immunity: A long-term effects Study,10.1000/000035,PMC0000035,973294,cc-by-nc,,2020-07-06,"Gonzalez, L.",Journal of Medical Virology,mag_00000035,,,pdf_000035.json,,https://example.com/paper/35,s2_00000035
cord_uid_000036,,WHO,Pandemic Sars-Cov-2 Social Distancing: A neurological Study,10.1000/000036,PMC0000036,385765,cc-by,This study investigates testing in relation to neurological. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using cross-sectional analysis of 3038 patients.,2020-09-06,"Williams, B.; Martinez, I.",JAMA,mag_00000036,cov_000036,arXiv:2009.6549,pdf_000036.json,,,s2_00000036
cord_uid_000037,sha_00000025,WHO,Immunity Elderly Variant: A epidemiology Study,10.1000/000037,PMC0000037,,cc-by,This study investigates immunity in relation to epidemiology. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 4445 patients.,2021-03-07,"Anderson, N.",Scientific Reports,,cov_000037,,pdf_000037.json,,,s2_00000037
cord_uid_000038,sha_00000026,Custom,Antibody Pandemic Vaccine: A clinical trial Study,10.1000/000038,PMC0000038,878325,cc-by,This study investigates SARS-CoV-2 in relation to clinical trial. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using prospective analysis of 1001 patients.,2021-08-10,"Davis, G.",Emerging Infectious Diseases,,,,,pmc_000038.json,,
cord_uid_000039,sha_00000027,WHO,Hospitalization Variant: A epidemiology Study,10.1000/000039,PMC0000039,726152,cc0,This study investigates variant in relation to epidemiology. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 2988 patients.,2022-05-27,"Gonzalez, L.",Nature,mag_00000039,,,,,https://example.com/paper/39,
cord_uid_000040,sha_00000028,WHO,Asymptomatic: A neurological Study,,,717457,cc-by-nc,This study investigates vaccine in relation to neurological. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 2321 patients.,2021-02-15,"Jones, D.; Moore, Q.",Nature,,,,,pmc_000040.json,https://example.com/paper/40,s2_00000040
cord_uid_000041,,CDC,Pandemic Testing Icu: A treatment Study,10.1000/000041,PMC0000041,437758,cc-by,This study investigates outbreak in relation to treatment. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using cross-sectional analysis of 4321 patients.,2022-10-17,"Anderson, N.; Smith, J.; Johnson, A.",Science,,,,pdf_000041.json,,https://example.com/paper/41,
cord_uid_000042,sha_0000002a,CDC,Antibody Pandemic Comorbidity: A gastrointestinal Study,10.1000/000042,,,custom,This study investigates elderly in relation to gastrointestinal. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 3573 patients.,2022-10-01,"Davis, G.; Wilson, M.; Hernandez, J.; Anderson, N.",Science,,,,pdf_000042.json,,,
cord_uid_000043,,PMC,Pandemic Antibody Variant: A gastrointestinal Study,10.1000/000043,,701987,cc-by,This study investigates antibody in relation to gastrointestinal. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 2406 patients.,2021-10-06,"Martinez, I.; Lopez, K.; Brown, C.; Taylor, P.; Miller, F.",Journal of Medical Virology,,,,pdf_000043.json,,https://example.com/paper/43,s2_00000043
cord_uid_000044,sha_0000002c,CDC,Transmission: A diagnosis Study,,PMC0000044,575682,cc-by-nc,,2021-05-31,"Jones, D.; Jackson, R.",The Lancet,,cov_000044,,,,,
cord_uid_000045,sha_0000002d,WHO,Coronavirus Lockdown Testing: A respiratory Study,10.1000/000045,PMC0000045,,custom,This study investigates antibody in relation to respiratory. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 3671 patients.,2020-03-11,"Rodriguez, H.; Miller, F.; Taylor, P.; Brown, C.",Nature Medicine,,,arXiv:2004.5186,,,https://example.com/paper/45,
cord_uid_000046,sha_0000002e,PubMed,Elderly Hospitalization: A recovery Study,10.1000/000046,PMC0000046,,cc0,This study investigates elderly in relation to recovery. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 640 patients.,2020-08-21,"Johnson, A.; Wilson, M.; Smith, J.; Anderson, N.",BMJ,,cov_000046,,pdf_000046.json,,https://example.com/paper/46,
cord_uid_000047,sha_0000002f,PubMed,Immunity Icu Coronavirus: A risk factors Study,10.1000/000047,PMC0000047,254864,cc-by,This study investigates social distancing in relation to risk factors. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 1865 patients.,2022-05-11,"Garcia, E.; Williams, B.; Taylor, P.",Science,,,,pdf_000047.json,,,s2_00000047
cord_uid_000048,,CDC,Comorbidity Outbreak: A complications Study,,PMC0000048,573866,cc0,This study investigates comorbidity in relation to complications. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 2697 patients.,2022-09-07,"Jones, D.; Anderson, N.; Williams, B.",Nature,,,,pdf_000048.json,,https://example.com/paper/48,
cord_uid_000049,sha_00000031,PubMed,Comorbidity Mortality: A prognosis Study,,PMC0000049,,custom,This study investigates outbreak in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 1285 patients.,2020-02-23,"Anderson, N.",Scientific Reports,mag_00000049,,,pdf_000049.json,,https://example.com/paper/49,s2_00000049
cord_uid_000050,sha_00000032,PubMed,Asymptomatic Coronavirus Outbreak: A epidemiology Study,10.1000/000050,PMC0000050,723945,cc0,This study investigates elderly in relation to epidemiology. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 2377 patients.,2020-03-17,"Martin, S.; Jones, D.; Hernandez, J.",JAMA,mag_00000050,,,,pmc_000050.json,https://example.com/paper/50,s2_00000050
cord_uid_000051,,CDC,Antibody: A recovery Study,10.1000/000051,PMC0000051,665990,cc0,This study investigates variant in relation to recovery. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 2580 patients.,2022-11-13,"Miller, F.; Hernandez, J.",Lancet Infectious Diseases,,cov_000051,,,,https://example.com/paper/51,s2_00000051
cord_uid_000052,sha_00000034,CDC,Testing Sars-Cov-2 Antibody: A prognosis Study,10.1000/000052,PMC0000052,915922,custom,This study investigates hospitalization in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 2384 patients.,2020-11-04,"Davis, G.; Moore, Q.; Martin, S.; Martinez, I.",Cell,mag_00000052,cov_000052,arXiv:2019.3267,pdf_000052.json,,https://example.com/paper/52,
cord_uid_000053,sha_00000035,PMC,Icu Pandemic Social Distancing: A epidemiology Study,10.1000/000053,,504924,cc0,This study investigates transmission in relation to epidemiology. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using prospective analysis of 4255 patients.,2020-06-28,"Wilson, M.; Williams, B.",BMJ,,,,pdf_000053.json,,,
cord_uid_000054,,Custom,Vaccine Ventilator Testing: A long-term effects Study,10.1000/000054,,932463,custom,This study investigates COVID-19 in relation to long-term effects. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 2146 patients.,2022-07-25,"Jones, D.; Moore, Q.",Science,,cov_000054,,,,,
cord_uid_000055,sha_00000037,WHO,Outbreak: A prognosis Study,10.1000/000055,PMC0000055,592972,cc0,,2022-04-28,"Taylor, P.",Lancet Infectious Diseases,,,,,,,s2_00000055
cord_uid_000056,sha_00000038,CDC,Asymptomatic Vaccine Sars-Cov-2: A prognosis Study,10.1000/000056,,517568,custom,,2020-06-30,"Thomas, O.; Garcia, E.; Jones, D.; Williams, B.",JAMA,,,,pdf_000056.json,,https://example.com/paper/56,
cord_uid_000057,sha_00000039,CDC,Immunity Testing: A dermatological Study,10.1000/000057,,,cc-by-nc,,2021-12-23,"Lopez, K.; Taylor, P.; Rodriguez, H.; Williams, B.",JAMA,,cov_000057,,,,https://example.com/paper/57,s2_00000057
cord_uid_000058,,Custom,Sars-Cov-2 Coronavirus: A respiratory Study,10.1000/000058,PMC0000058,694799,cc0,This study investigates immunity in relation to respiratory. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 1360 patients.,2022-05-09,"Jones, D.",Nature Medicine,,,,,,,
cord_uid_000059,sha_0000003b,Custom,Lockdown Hospitalization Pandemic: A clinical trial Study,,PMC0000059,848022,custom,This study investigates transmission in relation to clinical trial. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 3220 patients.,2021-09-04,"Brown, C.; Rodriguez, H.; Jackson, R.; Anderson, N.; Miller, F.",Science,mag_00000059,cov_000059,arXiv:2021.6692,pdf_000059.json,,,
cord_uid_000060,sha_0000003c,CDC,Transmission Variant Icu: A treatment Study,,,853789,custom,This study investigates pandemic in relation to treatment. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 1989 patients.,2020-10-18,"Smith, J.; Lopez, K.; Moore, Q.; Jackson, R.",Cell,,,,,,,
cord_uid_000061,,PMC,Vaccine Elderly: A respiratory Study,10.1000/000061,PMC0000061,,cc0,This study investigates comorbidity in relation to respiratory. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 3594 patients.,2022-10-25,"Johnson, A.; Brown, C.; Taylor, P.; Jones, D.; Martinez, I.",JAMA,,cov_000061,,pdf_000061.json,,,s2_00000061
cord_uid_000062,,PubMed,Outbreak: A cardiovascular Study,10.1000/000062,PMC0000062,131757,custom,This study investigates outbreak in relation to cardiovascular. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 387 patients.,2020-10-11,"Williams, B.",Emerging Infectious Diseases,mag_00000062,,arXiv:2015.5012,pdf_000062.json,,,
cord_uid_000063,,PMC,Testing: A risk factors Study,10.1000/000063,,247720,cc0,This study investigates ventilator in relation to risk factors. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 2836 patients.,2020-04-01,"Jones, D.; Hernandez, J.; Jackson, R.; Lopez, K.; Gonzalez, L.",Nature,,,,,pmc_000063.json,,
cord_uid_000064,sha_00000040,CDC,Transmission: A complications Study,,PMC0000064,786041,custom,This study investigates ICU in relation to complications. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using prospective analysis of 2577 patients.,2021-09-01,"Smith, J.; Williams, B.; Gonzalez, L.; Taylor, P.",JAMA,mag_00000064,cov_000064,,pdf_000064.json,pmc_000064.json,https://example.com/paper/64,
cord_uid_000065,sha_00000041,Custom,Comorbidity: A recovery Study,10.1000/000065,PMC0000065,,cc0,This study investigates mortality in relation to recovery. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 2414 patients.,2022-02-28,"Gonzalez, L.",PLOS ONE,,cov_000065,,,,https://example.com/paper/65,
cord_uid_000066,,PMC,Sars-Cov-2: A pathogenesis Study,10.1000/000066,PMC0000066,,cc-by-nc,This study investigates asymptomatic in relation to pathogenesis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 3793 patients.,2020-02-21,"Martin, S.; Taylor, P.",Cell,mag_00000066,,,,pmc_000066.json,,s2_00000066
cord_uid_000067,,PMC,Social Distancing Covid-19 Ventilator: A diagnosis Study,,,,cc-by,,2022-04-02,"Thomas, O.; Garcia, E.; Taylor, P.; Gonzalez, L.; Jones, D.",PLOS ONE,mag_00000067,,,pdf_000067.json,pmc_000067.json,https://example.com/paper/67,
cord_uid_000068,sha_00000044,WHO,Ventilator Icu Immunity: A prognosis Study,10.1000/000068,,,custom,This study investigates transmission in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 2854 patients.,2021-09-26,"Lopez, K.; Rodriguez, H.; Thomas, O.; Miller, F.; Davis, G.",BMJ,,,arXiv:2008.5715,,,,s2_00000068
cord_uid_000069,,Custom,Social Distancing: A clinical trial Study,,PMC0000069,,cc0,This study investigates social distancing in relation to clinical trial. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 2887 patients.,2021-11-06,"Rodriguez, H.; Thomas, O.; Miller, F.; Moore, Q.",Lancet Infectious Diseases,mag_00000069,,,,,https://example.com/paper/69,s2_00000069
cord_uid_000070,sha_00000046,PubMed,Elderly: A dermatological Study,10.1000/000070,PMC0000070,283568,custom,This study investigates transmission in relation to dermatological. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using cross-sectional analysis of 3946 patients.,2020-09-07,"Miller, F.; Martinez, I.; Hernandez, J.; Jackson, R.",Emerging Infectious Diseases,mag_00000070,cov_000070,,pdf_000070.json,pmc_000070.json,,s2_00000070
cord_uid_000071,sha_00000047,CDC,Covid-19: A diagnosis Study,10.1000/000071,PMC0000071,866634,custom,This study investigates comorbidity in relation to diagnosis. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using retrospective analysis of 2794 patients.,2021-07-15,"Anderson, N.; Moore, Q.; Taylor, P.",Lancet Infectious Diseases,,,,pdf_000071.json,,https://example.com/paper/71,
cord_uid_000072,sha_00000048,PMC,Icu Asymptomatic: A epidemiology Study,10.1000/000072,,700705,cc0,,2022-03-10,"Thomas, O.; Hernandez, J.",JAMA,mag_00000072,,,,,https://example.com/paper/72,
cord_uid_000073,sha_00000049,CDC,Pandemic Social Distancing Variant: A long-term effects Study,10.1000/000073,PMC0000073,813390,cc0,This study investigates hospitalization in relation to long-term effects. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 3967 patients.,2021-08-28,"Anderson, N.; Lopez, K.",Cell,,cov_000073,,,,https://example.com/paper/73,
cord_uid_000074,sha_0000004a,CDC,Transmission: A prognosis Study,10.1000/000074,PMC0000074,122827,custom,This study investigates ICU in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 1732 patients.,2022-12-04,"Thomas, O.; Williams, B.; Taylor, P.; Anderson, N.; Johnson, A.",JAMA,mag_00000074,cov_000074,,,,,s2_00000074
cord_uid_000075,sha_0000004b,CDC,Sars-Cov-2 Social Distancing: A risk factors Study,,PMC0000075,,custom,,2020-04-20,"Gonzalez, L.; Anderson, N.; Martin, S.",Cell,,cov_000075,arXiv:2000.5888,,pmc_000075.json,https://example.com/paper/75,
cord_uid_000076,,Custom,Testing: A prognosis Study,10.1000/000076,,,cc0,This study investigates vaccine in relation to prognosis. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 974 patients.,2021-03-15,"Wilson, M.",NEJM,mag_00000076,,,,pmc_000076.json,,
cord_uid_000077,,Custom,Comorbidity: A prognosis Study,10.1000/000077,PMC0000077,756401,custom,This study investigates comorbidity in relation to prognosis. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 2676 patients.,2021-07-15,"Martinez, I.; Jones, D.",Cell,,cov_000077,arXiv:2021.7244,pdf_000077.json,,https://example.com/paper/77,
cord_uid_000078,,Custom,Elderly: A complications Study,10.1000/000078,,489102,cc0,This study investigates hospitalization in relation to complications. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 1232 patients.,2022-01-09,"Johnson, A.; Moore, Q.; Wilson, M.; Jackson, R.",Cell,mag_00000078,,,pdf_000078.json,,https://example.com/paper/78,
